# omega0=1, alpha=0.2
# theta0=-0.81, theta_dot0=0.1234
# t_start=0, t_end=100, h=0.0116355
#   t          x(t)                 v(t)       
0  -8.100000000000001e-01  1.234000000000000e-01
1.163552834662887e-01 -7.849297965282684e-01 3.064411550527305e-01
2.327105669325774e-01 -7.389799932154495e-01 4.819494889395236e-01
3.490658503988658e-01 -6.731486692858786e-01 6.478217844566402e-01
4.654211338651543e-01 -5.886836735781776e-01 8.018657938804520e-01
5.817764173314427e-01 -4.870927113393153e-01 9.418142154297384e-01
6.981317007977311e-01 -3.701484747208618e-01 1.065396347822251e+00
8.144869842640196e-01 -2.398821439959280e-01 1.170465026602114e+00
9.308422677303080e-01 -9.855951877604752e-02 1.255164892732718e+00
1.047197551196597e+00 5.136362719844961e-02 1.318116026579038e+00
1.163552834662887e+00 2.073067968518439e-01 1.358578358742554e+00
1.279908118129176e+00 3.666462780670128e-01 1.376561178602782e+00
1.396263401595466e+00 5.268048195077993e-01 1.372850736284455e+00
1.512618685061755e+00 6.853391702212410e-01 1.348945947134491e+00
1.628973968528045e+00 8.400151961405257e-01 1.306912467446776e+00
1.745329251994334e+00 9.888625254558977e-01 1.249182272010223e+00
1.861684535460624e+00 1.130204414364726e+00 1.178334216489499e+00
1.978039818926913e+00 1.262662652288973e+00 1.096889493502514e+00
2.094395102393201e+00 1.385140791723580e+00 1.007146720535659e+00
2.210750385859488e+00 1.496791152730255e+00 9.110689713389325e-01
2.327105669325776e+00 1.596971789627648e+00 8.102235398929065e-01
2.443460952792063e+00 1.685199190045580e+00 7.057671574199322e-01
2.559816236258350e+00 1.761101361535862e+00 5.984654370794666e-01
2.676171519724638e+00 1.824374598250165e+00 4.887348277683606e-01
2.792526803190925e+00 1.874745941841650e+00 3.766970852399072e-01
2.908882086657212e+00 1.911942343241498e+00 2.622390218689908e-01
3.025237370123500e+00 1.935666860892958e+00 1.450732158284619e-01
3.141592653589787e+00 1.945581884362114e+00 2.479796476275306e-02
3.257947937056074e+00 1.941299299933780e+00 -9.904313438305982e-02
3.374303220522362e+00 1.922377654861905e+00 -2.269000431607983e-01
3.490658503988649e+00 1.888326666626842e+00 -3.591506255314243e-01
3.607013787454936e+00 1.838619797763809e+00 -4.960271073664198e-01
3.723369070921223e+00 1.772715996778747e+00 -6.375316464045943e-01
3.839724354387511e+00 1.690091980870383e+00 -7.833395174804262e-01
3.956079637853798e+00 1.590286444525010e+00 -9.326915898947716e-01
4.072434921320085e+00 1.472957093409041e+00 -1.084283156360436e+00
4.188790204786373e+00 1.337950148021542e+00 -1.236164023070610e+00
4.305145488252660e+00 1.185379673090522e+00 -1.385674468399158e+00
4.421500771718947e+00 1.015710664429495e+00 -1.529450943952093e+00
4.537856055185235e+00 8.298355563325902e-01 -1.663539693438273e+00
4.654211338651522e+00 6.291296365988696e-01 -1.783649454842803e+00
4.770566622117809e+00 4.154684449299347e-01 -1.885550429307719e+00
4.886921905584097e+00 1.911916510644420e-01 -1.965585522473614e+00
5.003277189050384e+00 -4.099530844094534e-02 -2.021211535299190e+00
5.119632472516671e+00 -2.781786938513645e-01 -2.051452968261373e+00
5.235987755982959e+00 -5.174358410496053e-01 -2.057151709007286e+00
5.352343039449246e+00 -7.560479247327417e-01 -2.040941381823716e+00
5.468698322915533e+00 -9.916935679496928e-01 -2.006951454790660e+00
5.585053606381821e+00 -1.222595888610822e+00 -1.960320883990456e+00
5.701408889848108e+00 -1.447607691069177e+00 -1.906642454787933e+00
5.817764173314395e+00 -1.666233786448770e+00 -1.851454737565801e+00
5.934119456780683e+00 -1.878600995066195e+00 -1.799859614773637e+00
6.050474740246970e+00 -2.085392505534189e+00 -1.756292634457461e+00
6.166830023713257e+00 -2.287763829387668e+00 -1.724431183908417e+00
6.283185307179544e+00 -2.487254235627357e+00 -1.707200955877420e+00
6.399540590645832e+00 -2.685702364567224e+00 -1.706833483326042e+00
6.515895874112119e+00 -2.885169334951589e+00 -1.724930630664855e+00
6.632251157578406e+00 -3.087867951923102e+00 -1.762499603748077e+00
6.748606441044694e+00 -3.296092874037667e+00 -1.819930432032308e+00
6.864961724510981e+00 -3.512143814964787e+00 -1.896896228763649e+00
6.981317007977268e+00 -3.738232131309925e+00 -1.992166929576187e+00
7.097672291443556e+00 -3.976360951845080e+00 -2.103343925312659e+00
7.214027574909843e+00 -4.228171372439020e+00 -2.226551185352440e+00
7.330382858376130e+00 -4.494753721954472e+00 -2.356160983053562e+00
7.446738141842418e+00 -4.776434965791818e+00 -2.484683703811542e+00
7.563093425308705e+00 -5.072570911428500e+00 -2.602989695055683e+00
7.679448708774992e+00 -5.381391294968928e+00 -2.701015896908225e+00
7.795803992241280e+00 -5.699958114555278e+00 -2.768996962876432e+00
7.912159275707567e+00 -6.024290429065514e+00 -2.799044899618518e+00
8.028514559173855e+00 -6.349674082217161e+00 -2.786663904467876e+00
8.144869842640142e+00 -6.671118623191605e+00 -2.731683791927992e+00
8.261225126106430e+00 -6.983869827147109e+00 -2.638248030540644e+00
