# omega0=1, alpha=0.5
# theta0=0.1, theta_dot0=0
# t_start=0, t_end=50, h=0.00911928
#   t          x(t)                 v(t)       
0  1.000000000000000e-01  0.000000000000000e+00
9.119282013323059e-02 9.959140511240715e-02 -8.887384723422428e-03
1.823856402664613e-01 9.839330022923230e-02 -1.730679350635985e-02
2.735784603996920e-01 9.645056147458729e-02 -2.521100886062444e-02
3.647712805329227e-01 9.381208688026223e-02 -3.255905314506620e-02
4.559641006661534e-01 9.053022495384434e-02 -3.931623304149919e-02
5.471569207993838e-01 8.666020140761597e-02 -4.545413575887301e-02
6.383497409326140e-01 8.225954835714568e-02 -5.095057900119605e-02
7.295425610658441e-01 7.738754011403406e-02 -5.578951671710970e-02
8.207353811990743e-01 7.210463951207012e-02 -5.996090268451935e-02
9.119282013323045e-01 6.647195851497978e-02 -6.346051407712804e-02
1.003121021465535e+00 6.055073665176260e-02 -6.628973730909792e-02
1.094313841598765e+00 5.440184060753222e-02 -6.845531865156092e-02
1.185506661731995e+00 4.808528805994864e-02 -6.996908234791965e-02
1.276699481865225e+00 4.165979859118728e-02 -7.084761920829860e-02
1.367892301998455e+00 3.518237422186539e-02 -7.111194891996538e-02
1.459085122131685e+00 2.870791180695749e-02 -7.078715955269793e-02
1.550277942264916e+00 2.228884920653509e-02 -6.990202794970336e-02
1.641470762398146e+00 1.597484679960592e-02 -6.848862486178563e-02
1.732663582531376e+00 9.812505551990775e-03 -6.658190879403202e-02
1.823856402664606e+00 3.845122484492669e-03 -6.421931258290997e-02
1.915049222797836e+00 -1.887515978480590e-03 -6.144032670367004e-02
2.006242042931067e+00 -7.349302661081577e-03 -5.828608322336447e-02
2.097434863064297e+00 -1.250794052098768e-02 -5.479894416701998e-02
2.188627683197527e+00 -1.733503633381830e-02 -5.102209785980757e-02
2.279820503330757e+00 -2.180615805735339e-02 -4.699916655490349e-02
2.371013323463987e+00 -2.590085704467623e-02 -4.277382836508150e-02
2.462206143597217e+00 -2.960265653619062e-02 -3.838945619660510e-02
2.553398963730448e+00 -3.289900809129682e-02 -3.388877604743089e-02
2.644591783863678e+00 -3.578121782026365e-02 -2.931354668824577e-02
2.735784603996908e+00 -3.824434444529790e-02 -2.470426240353431e-02
2.826977424130138e+00 -4.028707135754525e-02 -2.009988013836867e-02
2.918170244263368e+00 -4.191155494494217e-02 -1.553757208095154e-02
3.009363064396598e+00 -4.312325154612952e-02 -1.105250441542005e-02
3.100555884529828e+00 -4.393072544000433e-02 -6.677642706651780e-03
3.191748704663059e+00 -4.434544031106204e-02 -2.443584129896656e-03
3.282941524796289e+00 -4.438153663964085e-02 1.621583467221250e-03
3.374134344929519e+00 -4.405559745563058e-02 5.492395885660513e-03
3.465327165062749e+00 -4.338640486610738e-02 9.146100676620951e-03
3.556519985195979e+00 -4.239468972346393e-02 1.256271958596713e-02
3.647712805329209e+00 -4.110287674245875e-02 1.572508605219725e-02
3.738905625462440e+00 -3.953482730351931e-02 1.861885860423013e-02
3.830098445595670e+00 -3.771558209671371e-02 2.123251112961446e-02
3.921291265728900e+00 -3.567110566699108e-02 2.355730109854689e-02
4.012484085862130e+00 -3.342803481740321e-02 2.558721693539715e-02
4.103676905995361e+00 -3.101343271380053e-02 2.731890582779629e-02
4.194869726128591e+00 -2.845455041266852e-02 2.875158335373246e-02
4.286062546261821e+00 -2.577859740408155e-02 2.988692638903323e-02
4.377255366395051e+00 -2.301252262500560e-02 3.072895083024338e-02
4.468448186528281e+00 -2.018280725527932e-02 3.128387573013353e-02
4.559641006661511e+00 -1.731527046054563e-02 3.155997549368100e-02
4.650833826794742e+00 -1.443488909431043e-02 3.156742182014400e-02
4.742026646927972e+00 -1.156563221639061e-02 3.131811710072573e-02
4.833219467061202e+00 -8.730311128589100e-03 3.082552099044560e-02
4.924412287194432e+00 -5.950445471873322e-03 3.010447186665886e-02
5.015605107327662e+00 -3.246145774041261e-03 2.917100486500276e-02
5.106797927460892e+00 -6.360126842432630e-04 2.804216814658950e-02
5.197990747594122e+00 1.862947017841385e-03 2.673583899858292e-02
5.289183567727353e+00 4.235387693591742e-03 2.527054130480436e-02
5.380376387860583e+00 6.467675589876648e-03 2.366526584494202e-02
5.471569207993813e+00 8.547923377434164e-03 2.193929479175835e-02
5.562762028127043e+00 1.046600892474969e-02 2.011203167705579e-02
5.653954848260273e+00 1.221357886007110e-02 1.820283799083306e-02
5.745147668393503e+00 1.378403757530817e-02 1.623087746583986e-02
5.836340488526734e+00 1.517252241623690e-02 1.421496898339144e-02
5.927533308659964e+00 1.637586588336988e-02 1.217344891752430e-02
6.018726128793194e+00 1.739254573691115e-02 1.012404361492575e-02
6.109918948926424e+00 1.822262395737447e-02 8.083752588956661e-03
6.201111769059654e+00 1.886767556081477e-02 6.068742888736506e-03
6.292304589192884e+00 1.933070830441111e-02 4.094254989714069e-03
6.383497409326115e+00 1.961607434464500e-02 2.174520441264437e-03
6.474690229459345e+00 1.972937492690428e-02 3.226914003229147e-04
6.565883049592575e+00 1.967735919243471e-02 -1.449217921574525e-03
6.657075869725805e+00 1.946781818662256e-02 -3.130377966818217e-03
6.748268689859035e+00 1.910947514212061e-02 -4.711178855536038e-03
6.839461509992265e+00 1.861187309184818e-02 -6.183253969323742e-03
6.930654330125495e+00 1.798526084094165e-02 -7.539492418455772e-03
7.021847150258726e+00 1.724047829385929e-02 -8.774040788943555e-03
7.113039970391956e+00 1.638884209361470e-02 -9.882294632386259e-03
7.204232790525186e+00 1.544203248510007e-02 -1.086088022181407e-02
7.295425610658416e+00 1.441198226424453e-02 -1.170762715056699e-02
7.386618430791646e+00 1.331076861992187e-02 -1.242153239859814e-02
7.477811250924876e+00 1.215050861667311e-02 -1.300271653136203e-02
7.569004071058107e+00 1.094325900404446e-02 -1.345237273057922e-02
7.660196891191337e+00 9.700920973268695e-03 -1.377270938361434e-02
7.751389711324567e+00 8.435150414747804e-03 -1.396688697894707e-02
7.842582531457797e+00 7.157274160938501e-03 -1.403895006927664e-02
7.933775351591027e+00 5.878212629405787e-03 -1.399375507124411e-02
8.024968171724257e+00 4.608409210591875e-03 -1.383689467170354e-02
8.116160991857488e+00 3.357766674833616e-03 -1.357461960509494e-02
8.207353811990718e+00 2.135590803917439e-03 -1.321375855500522e-02
8.298546632123948e+00 9.505413845291226e-04 -1.276163691573883e-02
8.389739452257178e+00 -1.894093651502598e-04 -1.222599512700785e-02
8.480932272390408e+00 -1.277010928252424e-03 -1.161490726709237e-02
8.572125092523638e+00 -2.305761235040892e-03 -1.093670055746165e-02
8.663317912656868e+00 -3.269926133261999e-03 -1.019987639536756e-02
8.754510732790099e+00 -4.164551748967979e-03 -9.413033490835577e-03
