# omega0=1, alpha=2
# theta0=0.1, theta_dot0=0
# t_start=0, t_end=50, h=0.00911928
#   t          x(t)                 v(t)       
0  1.000000000000000e-01  0.000000000000000e+00
9.119282013323059e-02 9.960927930137303e-02 -8.310650950326258e-03
1.823856402664613e-01 9.852825857978963e-02 -1.517292873185186e-02
2.735784603996920e-01 9.688019665353387e-02 -2.077642165899031e-02
3.647712805329227e-01 9.477209080587033e-02 -2.528860771647510e-02
4.559641006661534e-01 9.229658074660060e-02 -2.885727433501983e-02
5.471569207993838e-01 8.953364357259437e-02 -3.161268651173681e-02
6.383497409326140e-01 8.655210156178454e-02 -3.366952740812526e-02
7.295425610658441e-01 8.341096251942900e-02 -3.512863370071697e-02
8.207353811990743e-01 8.016061044703895e-02 -3.607854614939605e-02
9.119282013323045e-01 7.684386251846059e-02 -3.659689409738691e-02
1.003121021465535e+00 7.349690671806081e-02 -3.675163094101721e-02
1.094313841598765e+00 7.015013301525801e-02 -3.660213602146289e-02
1.185506661731995e+00 6.682886960901080e-02 -3.620019690586337e-02
1.276699481865225e+00 6.355403456577562e-02 -3.559088464811571e-02
1.367892301998455e+00 6.034271208489949e-02 -3.481333335283225e-02
1.459085122131685e+00 5.720866164639161e-02 -3.390143420845335e-02
1.550277942264916e+00 5.416276741769174e-02 -3.288445310380708e-02
1.641470762398146e+00 5.121343450900918e-02 -3.178757999113151e-02
1.732663582531376e+00 4.836693796217868e-02 -3.063241730119784e-02
1.823856402664606e+00 4.562772972752607e-02 -2.943741394555177e-02
1.915049222797836e+00 4.299870831938272e-02 -2.821825074968058e-02
2.006242042931067e+00 4.048145533672232e-02 -2.698818254185716e-02
2.097434863064297e+00 3.807644258465820e-02 -2.575834156854607e-02
2.188627683197527e+00 3.578321312959009e-02 -2.453800641203344e-02
2.279820503330757e+00 3.360053926055988e-02 -2.333484014330525e-02
2.371013323463987e+00 3.152656000732578e-02 -2.215510104760638e-02
2.462206143597217e+00 2.955890057773770e-02 -2.100382890654527e-02
2.553398963730448e+00 2.769477581956960e-02 -1.988500950454531e-02
2.644591783863678e+00 2.593107958180638e-02 -1.880171974483406e-02
2.735784603996908e+00 2.426446164461016e-02 -1.775625550739019e-02
2.826977424130138e+00 2.269139370323179e-02 -1.675024415511592e-02
2.918170244263368e+00 2.120822572669450e-02 -1.578474339210697e-02
3.009363064396598e+00 1.981123386510977e-02 -1.486032799670822e-02
3.100555884529828e+00 1.849666094815958e-02 -1.397716578981264e-02
3.191748704663059e+00 1.726075049996243e-02 -1.313508405357369e-02
3.282941524796289e+00 1.609977509076734e-02 -1.233362748557284e-02
3.374134344929519e+00 1.501005975238466e-02 -1.157210865692447e-02
3.465327165062749e+00 1.398800110079147e-02 -1.084965183839388e-02
3.556519985195979e+00 1.303008273489447e-02 -1.016523096508918e-02
3.647712805329209e+00 1.213288741405229e-02 -9.517702426536160e-03
3.738905625462440e+00 1.129310645780979e-02 -8.905833293950430e-03
3.830098445595670e+00 1.050754675862162e-02 -8.328325529381250e-03
3.921291265728900e+00 9.773135751462575e-03 -7.783836661310347e-03
4.012484085862130e+00 9.086924642528737e-03 -7.270997357522562e-03
4.103676905995361e+00 8.446090162179743e-03 -6.788426277975248e-03
4.194869726128591e+00 7.847935074367485e-03 -6.334742547397324e-03
4.286062546261821e+00 7.289887645600536e-03 -5.908576148924184e-03
4.377255366395051e+00 6.769500250611188e-03 -5.508576505751301e-03
4.468448186528281e+00 6.284447268968708e-03 -5.133419487145368e-03
4.559641006661511e+00 5.832522406600590e-03 -4.781813047807778e-03
4.650833826794742e+00 5.411635558257900e-03 -4.452501685199782e-03
4.742026646927972e+00 5.019809311135779e-03 -4.144269877705406e-03
4.833219467061202e+00 4.655175175906767e-03 -3.855944647151150e-03
4.924412287194432e+00 4.315969619137515e-03 -3.586397371972853e-03
5.015605107327662e+00 4.000529960255090e-03 -3.334544961997087e-03
5.106797927460892e+00 3.707290186742779e-03 -3.099350492186674e-03
5.197990747594122e+00 3.434776732930077e-03 -2.879823380607575e-03
5.289183567727353e+00 3.181604260465626e-03 -2.675019185145773e-03
5.380376387860583e+00 2.946471472207818e-03 -2.484039083992745e-03
5.471569207993813e+00 2.728156985730297e-03 -2.306029096496394e-03
5.562762028127043e+00 2.525515287825100e-03 -2.140179093523929e-03
5.653954848260273e+00 2.337472787210749e-03 -1.985721639899280e-03
5.745147668393503e+00 2.163023979041729e-03 -1.841930705666150e-03
5.836340488526734e+00 2.001227731702907e-03 -1.708120277804424e-03
5.927533308659964e+00 1.851203703698264e-03 -1.583642899516844e-03
6.018726128793194e+00 1.712128896155205e-03 -1.467888160237026e-03
6.109918948926424e+00 1.583234344516665e-03 -1.360281156028485e-03
6.201111769059654e+00 1.463801951341759e-03 -1.260280936993122e-03
6.292304589192884e+00 1.353161460744605e-03 -1.167378955638357e-03
6.383497409326115e+00 1.250687573837653e-03 -1.081097527821293e-03
6.474690229459345e+00 1.155797203581031e-03 -1.000988315857487e-03
6.565883049592575e+00 1.067946866647511e-03 -9.266308416164749e-04
6.657075869725805e+00 9.866302092708446e-04 -8.576310358954218e-04
6.748268689859035e+00 9.113756635333231e-04 -7.936198290386868e-04
6.839461509992265e+00 8.417442301486981e-04 -7.342517866302793e-04
6.930654330125495e+00 7.773273834934422e-04 -6.792037931063319e-04
7.021847150258726e+00 7.177450944189129e-04 -6.281737852964909e-04
7.113039970391956e+00 6.626439662272211e-04 -5.808795371892958e-04
7.204232790525186e+00 6.116954791038509e-04 -5.370574966118835e-04
7.295425610658416e+00 5.645943382610235e-04 -4.964616740051321e-04
7.386618430791646e+00 5.210569210492848e-04 -4.588625830496180e-04
7.477811250924876e+00 4.808198183337110e-04 -4.240462325448085e-04
7.569004071058107e+00 4.436384654992774e-04 -3.918131686543186e-04
7.660196891191337e+00 4.092858585419251e-04 -3.619775663954614e-04
7.751389711324567e+00 3.775513508130141e-04 -3.343663690643349e-04
7.842582531457797e+00 3.482395261111487e-04 -3.088184741418010e-04
7.933775351591027e+00 3.211691439532994e-04 -2.851839641151892e-04
8.024968171724257e+00 2.961721530037455e-04 -2.633233805703331e-04
8.116160991857488e+00 2.730927687920766e-04 -2.431070398541980e-04
8.207353811990718e+00 2.517866120081162e-04 -2.244143885759674e-04
8.298546632123948e+00 2.321199038203588e-04 -2.071333972006229e-04
8.389739452257178e+00 2.139687148237510e-04 -1.911599899907841e-04
8.480932272390408e+00 1.972182643811348e-04 -1.763975095672640e-04
8.572125092523638e+00 1.817622672793075e-04 -1.627562143841701e-04
8.663317912656868e+00 1.675023247745629e-04 -1.501528074484740e-04
8.754510732790099e+00 1.543473572530571e-04 -1.385099946550610e-04
8.845703552923329e+00 1.422130758778003e-04 -1.277560711548851e-04
8.936896373056559e+00 1.310214907360874e-04 -1.178245342247198e-04
9.028089193189789e+00 1.207004531384034e-04 -1.086537211610050e-04
9.119282013323019e+00 1.111832298520215e-04 -1.001864707765301e-04
9.210474833456249e+00 1.024081071795031e-04 -9.236980713634353e-05
9.301667653589480e+00 9.431802291400053e-05 -8.515464422768020e-05
9.392860473722710e+00 8.686022431961511e-05 -7.849551031727912e-05
9.484053293855940e+00 7.998595039608926e-05 -7.235029080774298e-05
9.575246113989170e+00 7.365013679284372e-05 -6.667998846218673e-05
9.666438934122400e+00 6.781114183790122e-05 -6.144849992300069e-05
9.757631754255630e+00 6.243049224266183e-05 -5.662240750586283e-05
9.848824574388860e+00 5.747264713394235e-05 -5.217078530395954e-05
9.940017394522091e+00 5.290477915030429e-05 -4.806501868955869e-05
1.003121021465532e+01 4.869657142062866e-05 -4.427863635049592e-05
1.012240303478855e+01 4.482002931931478e-05 -4.078715404769906e-05
1.021359585492178e+01 4.124930596455892e-05 -3.756792932652505e-05
1.030478867505501e+01 3.796054049408002e-05 -3.460002645938481e-05
1.039598149518824e+01 3.493170821658604e-05 -3.186409093986749e-05
1.048717431532147e+01 3.214248179739165e-05 -2.934223288935214e-05
1.057836713545470e+01 2.957410269308652e-05 -2.701791877592593e-05
1.066955995558793e+01 2.720926210318742e-05 -2.487587088234584e-05
1.076075277572116e+01 2.503199075646144e-05 -2.290197399482139e-05
1.085194559585439e+01 2.302755689624957e-05 -2.108318881760810e-05
1.094313841598762e+01 2.118237187281459e-05 -1.940747164983634e-05
1.103433123612085e+01 1.948390279164418e-05 -1.786369989071591e-05
1.112552405625408e+01 1.792059170491367e-05 -1.644160296731440e-05
1.121671687638731e+01 1.648178086909997e-05 -1.513169830556948e-05
1.130790969652054e+01 1.515764362518376e-05 -1.392523199012764e-05
1.139910251665377e+01 1.393912048911527e-05 -1.281412378206983e-05
1.149029533678700e+01 1.281786006938123e-05 -1.179091618565362e-05
1.158148815692023e+01 1.178616445572282e-05 -1.084872727593766e-05
1.167268097705346e+01 1.083693874843217e-05 -9.981207018622395e-06
1.176387379718669e+01 9.963644421314531e-06 -9.182496831703907e-06
1.185506661731992e+01 9.160256233448666e-06 -8.447192155658492e-06
1.194625943745315e+01 8.421222425412469e-06 -7.770307814913758e-06
1.203745225758638e+01 7.741427954759947e-06 -7.147245968376940e-06
1.212864507771961e+01 7.116160543329626e-06 -6.573766460838712e-06
1.221983789785284e+01 6.541079325519823e-06 -6.045959400206157e-06
1.231103071798607e+01 6.012185902063032e-06 -5.560219797793496e-06
1.240222353811930e+01 5.525797618146573e-06 -5.113224120364335e-06
1.249341635825254e+01 5.078522898031048e-06 -4.701908613322237e-06
1.258460917838577e+01 4.667238480679502e-06 -4.323449264433064e-06
1.267580199851900e+01 4.289068412391878e-06 -3.975243286776591e-06
1.276699481865223e+01 3.941364663100674e-06 -3.654892008307481e-06
1.285818763878546e+01 3.621689242880662e-06 -3.360185063496307e-06
1.294938045891869e+01 3.327797704410055e-06 -3.089085790057110e-06
1.304057327905192e+01 3.057623925642021e-06 -2.839717740784177e-06
1.313176609918515e+01 2.809266074849285e-06 -2.610352227050804e-06
