    x     y_exact   y_spline   y'_spline  y''_spline
0  9.341764  9.340000  0.342400  0.000000  
5  10.500801  11.052000  0.342400  0.000000  
10  11.876772  12.764000  0.342400  0.000000  
15  13.523094  14.476000  0.342400  0.000000  
20  15.508768  16.188000  0.342400  0.000000  
25  17.923007  17.900000  0.944000  0.000000  
30  20.880647  22.620000  0.944000  0.000000  
35  24.527397  27.340000  0.944000  0.000000  
40  29.042154  32.060000  0.944000  0.000000  
45  34.629454  36.780000  0.944000  0.000000  
50  41.486772  41.500000  1.680000  0.000000  
55  49.717954  49.900000  1.680000  0.000000  
60  59.152974  58.300000  1.680000  0.000000  
65  69.062416  66.700000  1.680000  0.000000  
70  77.903078  75.100000  1.680000  0.000000  
75  83.502123  83.500000  -1.280000  0.000000  
80  84.051299  77.100000  -1.280000  0.000000  
85  79.354238  70.700000  -1.280000  0.000000  
90  70.980283  64.300000  -1.280000  0.000000  
95  61.133700  57.900000  -1.280000  0.000000  
100  51.521871  51.500000  -1.200000  0.000000  
105  43.023060  45.500000  -1.200000  0.000000  
110  35.893835  39.500000  -1.200000  0.000000  
115  30.067051  33.500000  -1.200000  0.000000  
120  25.354628  27.500000  -1.200000  0.000000  
125  21.549616  21.500000  -0.428000  0.000000  
130  18.466874  19.360000  -0.428000  0.000000  
135  15.954060  17.220000  -0.428000  0.000000  
140  13.890549  15.080000  -0.428000  0.000000  
145  12.182451  12.940000  -0.428000  0.000000  
150  10.757123  10.800000  -0.180400  0.000000  
155  9.558356  9.898000  -0.180400  0.000000  
160  8.542495  8.996000  -0.180400  0.000000  
165  7.675445  8.094000  -0.180400  0.000000  
170  6.930398  7.192000  -0.180400  0.000000  
175  6.286122  6.290000  -0.088000  0.000000  
180  5.725678  5.850000  -0.088000  0.000000  
185  5.235452  5.410000  -0.088000  0.000000  
190  4.804421  4.970000  -0.088000  0.000000  
195  4.423599  4.530000  -0.088000  0.000000  
200  4.085612  4.090000  -0.088000  0.000000  
