    x     y_exact   y_spline   y'_spline  y''_spline
0  9.341764  9.340000  15.652368  -2.935954  
5  10.500801  56.901156  4.467530  -1.619391  
10  11.876772  63.081869  -1.258621  -0.733726  
15  13.523094  50.238446  -3.415003  -0.175807  
20  15.508768  32.497149  -3.419281  0.140040  
25  17.923007  17.900000  -2.300464  0.283913  
30  20.880647  10.160989  -0.772232  0.312137  
35  24.527397  10.077750  0.702494  0.268966  
40  29.042154  16.641228  1.855234  0.188181  
45  34.629454  27.883326  2.563375  0.094588  
50  41.486772  41.500000  2.808837  0.005419  
55  49.717954  55.284700  2.643465  -0.068379  
60  59.152974  67.404561  2.160649  -0.120947  
65  69.062416  76.549173  1.472653  -0.150419  
70  77.903078  81.979257  0.693162  -0.157937  
75  83.502123  83.500000  -0.075482  -0.146756  
80  84.051299  81.381310  -0.750839  -0.121459  
85  79.354238  76.244674  -1.275249  -0.087269  
90  70.980283  68.933798  -1.617529  -0.049464  
95  61.133700  60.383650  -1.771999  -0.012896  
100  51.521871  51.500000  -1.755341  0.018397  
105  43.023060  43.059022  -1.601801  0.041468  
110  35.893835  35.633966  -1.357241  0.054638  
115  30.067051  29.553401  -1.072548  0.057579  
120  25.354628  24.892956  -0.796902  0.051290  
125  21.549616  21.500000  -0.571427  0.037967  
130  18.466874  19.048105  -0.423705  0.020783  
135  15.954060  17.115660  -0.363687  0.003555  
140  13.890549  15.280424  -0.381491  -0.009682  
145  12.182451  13.219293  -0.447605  -0.015207  
150  10.757123  10.800000  -0.515993  -0.010245  
155  9.558356  8.148971  -0.530613  0.006299  
160  8.542495  5.676959  -0.435869  0.033007  
165  7.675445  4.041616  -0.191474  0.065007  
170  6.930398  4.023558  0.207734  0.092939  
175  6.286122  6.290000  0.706541  0.101816  
180  5.725678  11.017455  1.158158  0.069778  
185  5.235452  17.342493  1.286555  -0.033243  
190  4.804421  22.606986  0.641838  -0.246973  
195  4.423599  21.361757  -1.451851  -0.622338  
200  4.085612  4.090000  -5.956411  -1.223111  
