# uniform1 uniform2 gaussian1 gaussian2
  0.948101 0.903446 0.955232 0.774464
  0.150617 0.779714 -1.308799 0.415862
  0.959307 0.665176 0.270276 0.523808
  0.360237 0.043926 -1.000356 -1.147939
  0.420220 0.922393 -0.053604 0.620761
  0.001802 0.228148 0.829464 1.135661
  0.130195 0.332483 0.088151 -1.189874
  0.808348 0.886204 0.295888 -0.802397
  0.065166 0.526183 0.003351 1.678200
  0.920673 0.305862 0.842446 0.977732
  0.222987 0.466417 1.671307 -0.636883
  0.991754 0.667048 -1.104505 -0.418508
  0.659414 0.054754 2.398692 0.449550
  0.419796 0.167507 -0.727126 -0.830996
  0.964548 0.811682 -0.737774 -0.589195
  0.444154 0.593354 -2.187531 -0.923820
  0.034038 0.731664 -1.611140 0.573591
  0.626661 0.063854 -0.257378 -1.171188
  0.232508 0.603175 0.957268 0.820300
  0.209653 0.307393 -0.559238 0.971762
  0.962671 0.217098 -0.112520 -1.605009
  0.679503 0.917358 -1.360604 1.097000
  0.160031 0.602124 -1.033656 0.920706
  0.088707 0.342115 -0.118650 -2.240541
  0.958203 0.053038 -0.100507 -0.385205
  0.642496 0.300127 -0.473041 1.158295
  0.775364 0.729990 0.506099 0.193316
  0.162730 0.875261 1.549672 -0.744564
  0.987436 0.755335 1.614108 -0.196241
  0.230460 0.265517 0.842013 -0.590797
  0.938355 0.942207 0.234275 0.068577
  0.405988 0.237281 -0.132946 0.368003
  0.334680 0.148373 0.592758 -0.892470
  0.150544 0.775398 0.231461 0.446148
  0.730522 0.687053 1.226086 1.843139
  0.610553 0.190320 -0.196988 0.809705
  0.688592 0.064010 1.961590 -0.990354
  0.705391 0.812754 -1.278472 -0.384476
  0.378400 0.097176 1.602941 0.875142
  0.858203 0.064923 -1.183965 0.947571
  0.331225 0.208272 -0.671951 -0.736984
  0.940623 0.981229 0.795198 0.249734
  0.890064 0.453310 -0.411355 0.278195
  0.179649 0.465239 1.092327 -1.803119
  0.526654 0.342492 -0.998777 -0.776762
  0.035791 0.371889 0.499899 0.344070
  0.510648 0.913801 -0.772810 -1.212147
  0.409365 0.106810 -1.225235 1.979463
  0.095991 0.720121 -1.007103 0.476169
  0.924550 0.776875 0.845025 0.169133
